Kota/Kabupaten,Tanggal,Imsak,Subuh,Terbit,Dhuha,Dzuhur,Ashar,Maghrib,Isya
Kota Jakarta,"Sabtu, 06/05/2028",04:26,04:36,05:50,06:18,11:53,15:13,17:49,19:00
Kota Jakarta,"Minggu, 07/05/2028",04:25,04:35,05:50,06:18,11:53,15:13,17:48,19:00
Kota Jakarta,"Senin, 08/05/2028",04:25,04:35,05:50,06:18,11:53,15:13,17:48,19:00
Kota Jakarta,"Selasa, 09/05/2028",04:25,04:35,05:50,06:18,11:53,15:13,17:48,18:59
Kota Jakarta,"Rabu, 10/05/2028",04:25,04:35,05:50,06:19,11:53,15:13,17:48,18:59
Kota Jakarta,"Kamis, 11/05/2028",04:25,04:35,05:50,06:19,11:53,15:13,17:48,18:59
Kota Jakarta,"Jumat, 12/05/2028",04:25,04:35,05:50,06:19,11:53,15:13,17:48,18:59
Kota Jakarta,"Sabtu, 13/05/2028",04:25,04:35,05:51,06:19,11:53,15:13,17:47,18:59
Kota Jakarta,"Minggu, 14/05/2028",04:25,04:35,05:51,06:19,11:53,15:14,17:47,18:59
Kota Jakarta,"Senin, 15/05/2028",04:25,04:35,05:51,06:19,11:53,15:14,17:47,18:59
Kota Jakarta,"Selasa, 16/05/2028",04:25,04:35,05:51,06:19,11:53,15:14,17:47,18:59
Kota Jakarta,"Rabu, 17/05/2028",04:25,04:35,05:51,06:20,11:53,15:14,17:47,18:59
Kota Jakarta,"Kamis, 18/05/2028",04:25,04:35,05:51,06:20,11:53,15:14,17:47,18:59
Kota Jakarta,"Jumat, 19/05/2028",04:25,04:35,05:51,06:20,11:53,15:14,17:47,18:59
Kota Jakarta,"Sabtu, 20/05/2028",04:25,04:35,05:51,06:20,11:53,15:14,17:47,19:00
Kota Jakarta,"Minggu, 21/05/2028",04:25,04:35,05:52,06:20,11:53,15:14,17:47,19:00
Kota Jakarta,"Senin, 22/05/2028",04:26,04:36,05:52,06:20,11:53,15:14,17:47,19:00
Kota Jakarta,"Selasa, 23/05/2028",04:26,04:36,05:52,06:21,11:53,15:14,17:47,19:00
Kota Jakarta,"Rabu, 24/05/2028",04:26,04:36,05:52,06:21,11:53,15:14,17:47,19:00
Kota Jakarta,"Kamis, 25/05/2028",04:26,04:36,05:52,06:21,11:53,15:14,17:47,19:00
Kota Jakarta,"Jumat, 26/05/2028",04:26,04:36,05:53,06:21,11:53,15:14,17:47,19:00
Kota Jakarta,"Sabtu, 27/05/2028",04:26,04:36,05:53,06:22,11:53,15:14,17:47,19:00
Kota Jakarta,"Minggu, 28/05/2028",04:26,04:36,05:53,06:22,11:53,15:15,17:47,19:00
Kota Jakarta,"Senin, 29/05/2028",04:26,04:36,05:53,06:22,11:54,15:15,17:47,19:00
Kota Jakarta,"Selasa, 30/05/2028",04:26,04:36,05:53,06:22,11:54,15:15,17:47,19:01
Kota Jakarta,"Rabu, 31/05/2028",04:26,04:36,05:54,06:22,11:54,15:15,17:47,19:01
Kota Jakarta,"Kamis, 01/06/2028",04:27,04:37,05:54,06:23,11:54,15:15,17:47,19:01
Kota Jakarta,"Jumat, 02/06/2028",04:27,04:37,05:54,06:23,11:54,15:15,17:47,19:01
Kota Jakarta,"Sabtu, 03/06/2028",04:27,04:37,05:54,06:23,11:54,15:15,17:48,19:01
Kota Jakarta,"Minggu, 04/06/2028",04:27,04:37,05:54,06:23,11:55,15:16,17:48,19:01
Kota Jakarta,"Senin, 05/06/2028",04:27,04:37,05:55,06:24,11:55,15:16,17:48,19:02
Kota Jakarta,"Selasa, 06/06/2028",04:27,04:37,05:55,06:24,11:55,15:16,17:48,19:02
Kota Jakarta,"Rabu, 07/06/2028",04:28,04:38,05:55,06:24,11:55,15:16,17:48,19:02
